vehicle_id,miles_driven,sales_profit,month,vehicle_type,customer_age,sales_channel,customer_gender,customer_income,vehicle_color
1,12000,5000,2023-01,SUV,25-34,Online,Male,60000,Red
2,8000,6000,2023-02,Sedan,35-44,Showroom,Female,75000,Blue
3,15000,7000,2023-03,Hatchback,18-24,Online,Male,30000,Green
4,6000,8000,2023-04,SUV,25-34,Showroom,Female,90000,Black
5,12000,5500,2023-05,Sedan,45-54,Online,Male,70000,White
6,8000,4800,2023-06,Hatchback,35-44,Showroom,Female,50000,Silver
7,15000,6200,2023-07,SUV,25-34,Online,Male,80000,Yellow
8,6000,4500,2023-08,Sedan,18-24,Showroom,Female,40000,Purple
9,12000,5200,2023-09,Hatchback,35-44,Online,Male,55000,Orange
10,8000,7500,2023-10,SUV,25-34,Showroom,Female,95000,Gray
11,15000,6400,2023-11,Sedan,45-54,Online,Male,85000,Red
12,6000,5700,2023-12,Hatchback,18-24,Showroom,Female,32000,Blue
13,4900,5000,2023-01,SUV,35-44,Online,Male,72000,Green
14,5300,5300,2023-02,Sedan,25-34,Showroom,Female,82000,Black
15,6100,7000,2023-03,Hatchback,18-24,Online,Male,35000,Yellow
16,7500,7600,2023-04,SUV,25-34,Showroom,Female,95000,Purple
17,4700,4900,2023-05,Sedan,45-54,Online,Male,50000,Red
18,6300,6100,2023-06,Hatchback,35-44,Showroom,Female,60000,Blue
19,5300,5300,2023-07,SUV,25-34,Online,Male,80000,Green
20,6400,6400,2023-08,Sedan,18-24,Showroom,Female,70000,Orange
21,5900,5900,2023-09,Hatchback,35-44,Online,Male,55000,Gray
22,7200,7200,2023-10,SUV,25-34,Showroom,Female,95000,Black
23,6400,6400,2023-11,Sedan,45-54,Online,Male,85000,Red
24,5700,5700,2023-12,Hatchback,18-24,Showroom,Female,32000,Blue
25,5000,5000,2023-01,SUV,25-34,Online,Male,60000,Purple
26,6000,6000,2023-02,Sedan,35-44,Showroom,Female,75000,Silver
27,7000,7000,2023-03,Hatchback,18-24,Online,Male,30000,Yellow
28,8000,8000,2023-04,SUV,25-34,Showroom,Female,90000,Red
